Price,Close,High,Low,Open,Volume
Ticker,OMC,OMC,OMC,OMC,OMC
Date,,,,,
2000-01-03,26.995468139648438,27.866289692540324,26.61230665637601,27.866289692540324,1824200
2000-01-04,26.107234954833984,27.03030597058195,25.81115557242426,26.99547310206316,1262000
2000-01-05,25.358325958251953,26.159481860779145,25.166745198951972,25.95048466881553,1950000
2000-01-06,25.497665405273438,25.811161291403845,25.079670890432887,25.358333900326585,1445000
2000-01-07,26.577486038208008,26.73423398994056,25.515083254242946,25.56733257148713,989200
2000-01-10,27.76178550720215,28.040448347926887,26.664550571848487,27.030295550299705,974400
2000-01-11,27.152233123779297,27.674726384660232,26.82132072522137,27.657309942630867,1136400
2000-01-12,27.065135955810547,27.430881036294473,26.943220928982573,27.169634550234527,642200
2000-01-13,27.030298233032227,27.396043247783304,26.890966798841337,27.065131091579946,948600
2000-01-14,26.71681785583496,27.308976791361943,26.61231922015373,27.308976791361943,955200
2000-01-18,26.07240104675293,26.75164195578657,26.072401046752926,26.75164195578657,1293600
2000-01-19,27.117380142211914,27.413459437277808,26.054977965798987,26.089810824042033,1570800
2000-01-20,26.107234954833984,28.127541328923872,26.08981852057459,27.831461946514146,1782800
2000-01-21,26.455551147460938,26.734213964024057,26.19430475693302,26.263970461073797,1427600
2000-01-24,25.63699722290039,26.5252355777699,25.567331469577294,26.5252355777699,1066400
2000-01-25,25.201580047607422,26.07240174932157,25.027415707264595,25.70665663460163,1182200
2000-01-26,26.14206886291504,26.85614269594603,25.23641424541232,25.358329290076146,1072200
2000-01-27,25.967891693115234,26.76904730537768,25.584730313337545,26.054973824882893,997400
2000-01-28,26.368467330932617,26.960625778258716,25.13190116151636,25.49764608486483,1946200
2000-01-31,26.107234954833984,26.333648600206125,25.532492624273928,26.298815731687334,1091600
2000-02-01,26.85614585876465,27.099975976807904,26.05498975662251,26.10723906763178,997400
2000-02-02,26.403310775756836,27.84887462429761,26.351061480026445,26.856138005420213,1844600
2000-02-03,26.19432258605957,26.542651343852913,26.00274176927323,26.368486964956244,1312200
2000-02-04,26.124652862548828,26.50781443786621,26.03757068634033,26.194318603515622,1018600
2000-02-07,25.602155685424805,26.05498292884048,25.54990638810761,26.02015006396235,884800
2000-02-08,26.438142776489258,26.647139952587988,25.60215407209434,25.60215407209434,1252000
2000-02-09,26.978065490722656,27.221895650096524,26.281407892511613,26.438155852109098,1419200
2000-02-10,26.873559951782227,27.413469451785627,26.49039837113465,26.943225693718148,921000
2000-02-11,26.66457176208496,27.29156365198376,26.36849225852164,27.274147210597683,1051400
2000-02-14,26.455551147460938,26.85612894627042,26.333636165214575,26.62971540781289,479200
2000-02-15,26.298824310302734,26.647153109114694,25.967911951431375,26.525238029530506,2933000
